"pred_date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
"2013-09-08",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13,0,7,10,9,0,0,0,0,0,22,0,10,11,36
"2013-09-15",0,0,9,0,15,16,0,0,0,0,0,0,0,0,0,0,10,16,0,0,18,0,0,8,21,0,0,22,0,0,0,38
"2013-09-22",0,0,0,0,0,0,0,0,0,0,12,0,28,0,0,0,8,0,0,8,0,19,8,0,26,0,6,7,0,0,0,10
"2013-09-29",0,0,13,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,0,0,0,0,0,0,0,0,0,16,0,25,19,37
"2013-10-06",0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,14,23,0,0,0,0,0,0,0,0,31,0,0,0,27
"2013-10-13",0,0,0,0,0,13,0,0,0,0,20,0,7,0,0,0,0,20,0,0,0,0,0,16,36,0,0,20,0,14,11,34
"2013-10-20",0,0,0,0,8,22,0,0,0,0,22,0,0,0,0,0,8,7,0,0,9,0,0,13,0,0,0,26,31,0,0,0
"2013-10-27",0,0,0,0,0,36,0,0,0,0,0,0,33,0,0,0,0,22,0,7,0,0,0,0,0,0,0,21,0,12,0,21
"2013-11-03",0,0,0,0,0,20,6,0,0,0,0,0,17,0,0,0,0,15,0,0,11,0,9,20,0,0,0,33,0,0,0,35
"2013-11-10",0,12,10,0,21,34,0,0,0,0,8,0,14,0,0,0,0,20,6,0,11,0,0,9,0,0,0,20,0,7,0,36
"2013-11-17",0,0,0,8,12,0,0,0,0,0,0,0,8,0,0,0,0,8,25,15,0,0,0,14,0,0,0,37,0,13,0,45
"2013-11-24",0,0,0,0,0,11,0,0,0,0,0,0,21,0,0,0,0,16,19,0,10,0,0,16,0,0,16,12,0,0,0,47
