"EW2","date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
42,"2016-07-17",0,0,0,0,0,10,0,0,0,0,8,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,6,40
43,"2016-07-24",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,26,25,0,9,0,0,0,0,0,0,9,0,34,0,46
44,"2016-07-31",0,0,0,9,24,14,10,0,0,0,0,0,20,0,0,0,6,24,0,0,0,0,0,0,0,0,0,26,0,0,0,31
45,"2016-08-07",0,7,0,0,0,13,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,11,0,0,0,8,34,0,8,0,30
46,"2016-08-14",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,13,0,0,0,28,0,11,0,61
47,"2016-08-21",0,0,26,0,15,10,0,0,0,0,0,0,6,0,0,0,6,13,0,0,0,12,0,0,0,0,0,22,10,0,0,34
48,"2016-08-28",0,10,0,0,13,7,0,0,0,0,6,0,12,0,0,0,11,8,0,11,10,0,0,11,6,0,16,16,0,10,0,24
49,"2016-09-04",0,0,7,0,0,16,7,0,0,0,11,0,10,0,0,0,0,26,8,0,0,0,0,0,0,0,0,49,0,0,0,51
50,"2016-09-11",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,33,45,0,0,0,0,0,6,0,0,0,26,5,10,0,60
51,"2016-09-18",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,29,0,9,0,38
52,"2016-09-25",0,13,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,13,22,0,0,0,7,26,0,0,0,45,0,5,13,52
