"y","X1","X2","X3","X4","X5","X6","X11","X13","X17","X18","X19","X20","X22","X23","X24","X25","X28","X29","X30","X31","X32","X33"
0.001,0.01,0.01,7,0.01,0.01,0.01,0.01,9,0.01,14,23,0.01,0.01,0.01,0.01,0.01,0.01,31,0.01,0.01,0.01,27
0.001,0.01,0.01,0.01,0.01,13,0.01,20,7,0.01,20,0.01,0.01,0.01,0.01,16,36,0.01,20,0.01,14,11,34
0.001,0.01,0.01,0.01,8,22,0.01,22,0.01,8,7,0.01,0.01,0.01,0.01,13,0.01,0.01,26,31,0.01,0.01,0.01
0.001,0.01,0.01,0.01,0.01,36,0.01,0.01,33,0.01,22,0.01,7,0.01,0.01,0.01,0.01,0.01,21,0.01,12,0.01,21
0.001,0.01,0.01,0.01,0.01,20,6,0.01,17,0.01,15,0.01,0.01,0.01,9,20,0.01,0.01,33,0.01,0.01,0.01,35
0.001,12,10,0.01,21,34,0.01,8,14,0.01,20,6,0.01,0.01,0.01,9,0.01,0.01,20,0.01,7,0.01,36
0.001,0.01,0.01,8,12,0.01,0.01,0.01,8,0.01,8,25,15,0.01,0.01,14,0.01,0.01,37,0.01,13,0.01,45
0.001,0.01,0.01,0.01,0.01,11,0.01,0.01,21,0.01,16,19,0.01,0.01,0.01,16,0.01,16,12,0.01,0.01,0.01,47
0.001,0.01,0.01,0.01,13,14,0.01,0.01,7,0.01,11,12,0.01,0.01,0.01,0.01,17,0.01,9,0.01,0.01,0.01,22
0.001,0.01,12,0.01,0.01,41,15,0.01,10,0.01,14,39,0.01,0.01,0.01,18,0.01,0.01,16,10,0.01,7,32
0.001,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12,8,0.01,10,24,0.01,0.01,0.01,23
0.001,10,14,0.01,10,0.01,12,0.01,43,12,16,0.01,0.01,0.01,0.01,20,11,0.01,36,0.01,0.01,22,0.01
0.001,0.01,0.01,12,0.01,0.01,0.01,18,12,0.01,14,11,0.01,27,0.01,15,18,0.01,31,30,8,0.01,40
0.001,0.01,0.01,0.01,0.01,30,0.01,0.01,22,0.01,12,9,0.01,9,0.01,26,0.01,0.01,22,0.01,8,8,43
0.001,0.01,0.01,0.01,0.01,23,14,0.01,17,0.01,15,11,0.01,0.01,0.01,23,0.01,0.01,19,0.01,27,0.01,37
0.001,13,14,0.01,0.01,0.01,0.01,0.01,0.01,8,9,0.01,16,0.01,12,20,0.01,0.01,18,0.01,12,0.01,35
0.001,0.01,0.01,10,13,0.01,0.01,14,0.01,8,20,0.01,0.01,0.01,0.01,7,37,0.01,14,0.01,0.01,0.01,41
0.001,0.01,0.01,0.01,0.01,8,0.01,0.01,0.01,15,21,0.01,0.01,0.01,0.01,7,0.01,15,19,10,8,0.01,25
0.001,9,7,0.01,6,10,0.01,0.01,13,8,15,0.01,0.01,0.01,19,16,0.01,0.01,19,0.01,0.01,6,27
0.001,0.01,0.01,7,7,36,0.01,0.01,22,8,13,0.01,0.01,0.01,0.01,12,0.01,0.01,16,7,0.01,0.01,33
0.001,0.01,0.01,37,0.01,0.01,0.01,0.01,10,0.01,21,0.01,16,0.01,0.01,0.01,0.01,8,0.01,0.01,11,0.01,23
0.001,0.01,0.01,0.01,0.01,12,0.01,0.01,7,0.01,14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19
0.001,0.01,0.01,0.01,0.01,9,0.01,20,9,6,20,0.01,0.01,0.01,0.01,21,0.01,0.01,20,0.01,10,0.01,36
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16,0.01,11,9,0.01,0.01,0.01,0.01,0.01,0.01,11,0.01,6,0.01,55
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9,13,13,0.01,0.01,16,0.01,0.01,0.01,0.01,13,10,0.01,0.01,22
0.001,0.01,14,0.01,0.01,0.01,0.01,16,10,0.01,11,8,0.01,0.01,20,0.01,7,0.01,24,0.01,10,0.01,31
0.001,7,0.01,0.01,0.01,12,0.01,6,0.01,0.01,16,0.01,0.01,0.01,6,12,0.01,0.01,22,0.01,0.01,0.01,36
0.001,0.01,0.01,0.01,0.01,11,0.01,0.01,0.01,0.01,15,0.01,0.01,0.01,0.01,8,0.01,0.01,12,25,18,0.01,32
0.001,8,0.01,7,19,24,0.01,0.01,10,0.01,33,0.01,0.01,0.01,0.01,47,0.01,0.01,11,0.01,19,0.01,25
0.001,0.01,0.01,0.01,14,30,0.01,0.01,16,0.01,18,0.01,0.01,10,0.01,23,0.01,0.01,17,0.01,0.01,0.01,10
0.001,0.01,0.01,0.01,0.01,45,0.01,0.01,42,0.01,8,0.01,0.01,7,0.01,22,0.01,0.01,14,0.01,0.01,0.01,35
0.001,14,0.01,8,0.01,14,11,0.01,0.01,8,11,0.01,6,0.01,0.01,17,0.01,0.01,39,0.01,0.01,8,50
0.001,0.01,0.01,0.01,0.01,12,19,12,0.01,24,15,13,22,9,0.01,0.01,0.01,0.01,14,0.01,12,0.01,35
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25,37,0.01,10,0.01,10,0.01,0.01,0.01,12,0.01,9,0.01,14
0.001,16,0.01,0.01,6,7,14,0.01,0.01,0.01,23,0.01,0.01,12,11,6,0.01,0.01,13,0.01,9,0.01,37
0.001,0.01,0.01,0.01,12,13,0.01,0.01,13,7,6,0.01,0.01,0.01,11,0.01,0.01,11,25,0.01,0.01,0.01,40
0.001,0.01,9,10,7,8,0.01,0.01,11,0.01,19,6,0.01,0.01,0.01,8,0.01,0.01,20,0.01,0.01,0.01,29
0.001,10,0.01,0.01,0.01,0.01,0.01,0.01,19,0.01,6,10,0.01,6,0.01,0.01,0.01,0.01,8,0.01,9,0.01,53
0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6,22,0.01,0.01,0.01,0.01,0.01,0.01,12,0.01,0.01,8,0.01,15
0.001,0.01,0.01,0.01,0.01,0.01,9,0.01,44,0.01,11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,19,0.01,18,7,44
