"st1_date","st1_term1","st1_hit1","st1_term2","st1_hit2","st1_term3","st1_hit3","st1_term4","st1_hit4","st1_term5","st1_hit5","st2_term1","st2_hit1","st2_term2","st2_hit2","st2_term3","st2_hit3","st2_term4","st2_hit4","st3_term2","st3_hit2","st3_term3","st3_hit3","st3_term4","st3_hit4","st4_term1","st4_hit1","st4_term2","st4_hit2","st4_term3","st4_hit3","st4_term4","st4_hit4","st5_term1","st5_hit1","st5_term2","st5_hit2","st5_term3","st5_hit3","st5_term4","st5_hit4","st6_term1","st6_hit1","st6_term2","st6_hit2","st6_term3","st6_hit3","st6_term4","st6_hit4","st7_term1","st7_hit1","st7_term2","st7_hit2","st7_term3","st7_hit3","st8_term1","st8_hit1","st8_term2","st8_hit2","st8_term3","st8_hit3","st8_term4","st8_hit4"
2013-03-03,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",16,"mosquitoes",0,"fever",9,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",8,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",27,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",28
2013-03-10,"aedes",8,"aedes aegypti",0,"aegypti",10,"vomit",0,"mosquito",12,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",19,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",9,"rash",7,"headache",0,"nausea",0,"virus del dengue",7,"síntomas del dengue",0,"mosquitos",7,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",27,"náuseas",0,"vomitar",6,"vómitos",0,"fiebre",26
2013-03-17,"aedes",0,"aedes aegypti",0,"aegypti",35,"vomit",0,"mosquito",27,"dengue virus",8,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",10,"mosquitoes",0,"fever",9,"new dengue virus",0,"DENV",0,"DHF",0,"disease",13,"pain",12,"rash",0,"headache",0,"nausea",13,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",7,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",24,"náuseas",0,"vomitar",9,"vómitos",0,"fiebre",19
2013-03-24,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",10,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",7,"mosquitos",14,"zancudo",0,"nuevo virus del dengue",0,"erupción",26,"dolor de cabeza",15,"náuseas",0,"vomitar",21,"vómitos",0,"fiebre",33
2013-03-31,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",7,"mosquito",63,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",11,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",7,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",15,"náuseas",11,"vomitar",0,"vómitos",0,"fiebre",39
2013-04-07,"aedes",0,"aedes aegypti",9,"aegypti",0,"vomit",6,"mosquito",11,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",8,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",13,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",20,"náuseas",0,"vomitar",9,"vómitos",0,"fiebre",25
2013-04-14,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",19,"dengue virus",9,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",25,"pain",24,"rash",23,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",16,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",32,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",17
2013-04-21,"aedes",13,"aedes aegypti",0,"aegypti",12,"vomit",0,"mosquito",19,"dengue virus",15,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",10,"new dengue virus",0,"DENV",0,"DHF",0,"disease",6,"pain",15,"rash",0,"headache",0,"nausea",0,"virus del dengue",10,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",17,"náuseas",7,"vomitar",7,"vómitos",0,"fiebre",28
2013-04-28,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",23,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",8,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",19,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",11,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",18
2013-05-05,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",0,"mosquito",24,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",11,"new dengue virus",0,"DENV",0,"DHF",0,"disease",17,"pain",23,"rash",0,"headache",9,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",8,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",29
2013-05-12,"aedes",0,"aedes aegypti",13,"aegypti",0,"vomit",0,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",11,"new dengue virus",0,"DENV",0,"DHF",0,"disease",24,"pain",0,"rash",0,"headache",8,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",17,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",0,"vomitar",12,"vómitos",22,"fiebre",22
2013-05-19,"aedes",0,"aedes aegypti",23,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",8,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",8,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",22,"rash",0,"headache",0,"nausea",11,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",14,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",23
2013-05-26,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",16,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",9,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",24,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",55
2013-06-02,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",14,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",30,"new dengue virus",0,"DENV",0,"DHF",0,"disease",8,"pain",8,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",13,"mosquitos",8,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",24,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",17
2013-06-09,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",16,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",12,"rash",0,"headache",17,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",23,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",0,"vomitar",7,"vómitos",0,"fiebre",41
2013-06-16,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",14,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",30,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",31,"rash",10,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",9,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",35,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",35
2013-06-23,"aedes",12,"aedes aegypti",7,"aegypti",28,"vomit",8,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",7,"mosquitoes",0,"fever",10,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",27,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",69
2013-06-30,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",11,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",9,"mosquitoes",0,"fever",17,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",15,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",7,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",26,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",36
2013-07-07,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",40,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",9,"rash",8,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",10,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",10,"náuseas",0,"vomitar",19,"vómitos",9,"fiebre",29
2013-07-14,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",12,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",45,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",30,"rash",0,"headache",0,"nausea",0,"virus del dengue",9,"síntomas del dengue",9,"mosquitos",10,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",9,"náuseas",0,"vomitar",7,"vómitos",0,"fiebre",39
