"st1_date","st1_term1","st1_hit1","st1_term2","st1_hit2","st1_term3","st1_hit3","st1_term4","st1_hit4","st1_term5","st1_hit5","st2_term1","st2_hit1","st2_term2","st2_hit2","st2_term3","st2_hit3","st2_term4","st2_hit4","st3_term2","st3_hit2","st3_term3","st3_hit3","st3_term4","st3_hit4","st4_term1","st4_hit1","st4_term2","st4_hit2","st4_term3","st4_hit3","st4_term4","st4_hit4","st5_term1","st5_hit1","st5_term2","st5_hit2","st5_term3","st5_hit3","st5_term4","st5_hit4","st6_term1","st6_hit1","st6_term2","st6_hit2","st6_term3","st6_hit3","st6_term4","st6_hit4","st7_term1","st7_hit1","st7_term2","st7_hit2","st7_term3","st7_hit3","st8_term1","st8_hit1","st8_term2","st8_hit2","st8_term3","st8_hit3","st8_term4","st8_hit4"
2015-12-13,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",9,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",25,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",21,"rash",0,"headache",0,"nausea",0,"virus del dengue",8,"síntomas del dengue",0,"mosquitos",13,"zancudo",0,"nuevo virus del dengue",0,"erupción",8,"dolor de cabeza",15,"náuseas",0,"vomitar",14,"vómitos",0,"fiebre",45
2015-12-20,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",10,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",17,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",21,"rash",21,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",29,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",34
2015-12-27,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",46,"mosquito",33,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",11,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",12,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",47,"zancudo",13,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",29,"náuseas",0,"vomitar",18,"vómitos",0,"fiebre",22
2016-01-03,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",16,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",17,"mosquitoes",0,"fever",12,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",11,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",29,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",25,"náuseas",0,"vomitar",19,"vómitos",10,"fiebre",100
2016-01-10,"aedes",9,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",18,"dengue virus",16,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",21,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",7,"rash",13,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",47,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",29,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",76
2016-01-17,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",58,"dengue virus",9,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",18,"mosquitoes",0,"fever",30,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",12,"rash",0,"headache",10,"nausea",0,"virus del dengue",0,"síntomas del dengue",7,"mosquitos",56,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",15,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",65
2016-01-24,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",0,"mosquito",33,"dengue virus",8,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",27,"mosquitoes",0,"fever",11,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",21,"rash",0,"headache",0,"nausea",8,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",63,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",27,"náuseas",0,"vomitar",9,"vómitos",0,"fiebre",84
2016-01-31,"aedes",28,"aedes aegypti",19,"aegypti",10,"vomit",0,"mosquito",68,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",16,"mosquitoes",0,"fever",15,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",22,"rash",9,"headache",0,"nausea",22,"virus del dengue",7,"síntomas del dengue",0,"mosquitos",68,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",27,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",49
2016-02-07,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",31,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",20,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",9,"headache",6,"nausea",0,"virus del dengue",0,"síntomas del dengue",8,"mosquitos",33,"zancudo",11,"nuevo virus del dengue",0,"erupción",9,"dolor de cabeza",29,"náuseas",6,"vomitar",8,"vómitos",0,"fiebre",47
2016-02-14,"aedes",11,"aedes aegypti",10,"aegypti",26,"vomit",0,"mosquito",45,"dengue virus",11,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",24,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",15,"rash",0,"headache",7,"nausea",0,"virus del dengue",9,"síntomas del dengue",16,"mosquitos",16,"zancudo",11,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",27,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",63
2016-02-21,"aedes",24,"aedes aegypti",14,"aegypti",8,"vomit",0,"mosquito",34,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",30,"rash",0,"headache",9,"nausea",0,"virus del dengue",0,"síntomas del dengue",7,"mosquitos",10,"zancudo",7,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",11,"náuseas",0,"vomitar",23,"vómitos",0,"fiebre",41
2016-02-28,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",58,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",34,"mosquitoes",0,"fever",9,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",17,"rash",18,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",9,"mosquitos",46,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",16,"náuseas",12,"vomitar",11,"vómitos",0,"fiebre",60
2016-03-06,"aedes",38,"aedes aegypti",36,"aegypti",31,"vomit",0,"mosquito",100,"dengue virus",10,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",61,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",32,"rash",10,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",40,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",19,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",48
2016-03-13,"aedes",34,"aedes aegypti",34,"aegypti",27,"vomit",0,"mosquito",88,"dengue virus",9,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",32,"mosquitoes",0,"fever",19,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",0,"rash",10,"headache",0,"nausea",0,"virus del dengue",28,"síntomas del dengue",7,"mosquitos",31,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",49,"náuseas",22,"vomitar",18,"vómitos",0,"fiebre",47
